Scenario,True_Emotion,Mapped_Emotion,Factor,Predicted_Emotion,Match,Top_Emotion_1,Score_1,Top_Emotion_2,Score_2,Top_Emotion_3,Score_3
If your classmate talks back to you when there's no reason. That there is no real reason to oppose.,Anger,anger,Facing Self-Opinioned People,anger,True,anger,0.5176728963851929,disgust,0.1661654412746429,fear,0.1583551466464996
"If some older people like your parents are discussing a movieand you want to join in, and they say you wouldn't understand. Sometimes they say you have to understand. Some other times you're too young. It doesn't matter if you're young; you can understand anyway.",Anger,anger,Facing Self-Opinioned People,neutral,False,neutral,0.5481383204460144,anger,0.2617692351341247,disgust,0.1215479001402854
"When your classmate says the Earth is flat and they think is right, but you know it's wrong and they won't admit they're wrong. Their stubbornness, not wanting to confess to a mistake.",Anger,anger,Facing Self-Opinioned People,anger,True,anger,0.4623734056949615,neutral,0.1985062062740326,disgust,0.1612356454133987
"When you know you're right, but the others say your view is wrongelse and you cannot prove you're right.",Anger,anger,Facing Self-Opinioned People,anger,True,anger,0.4635489881038666,fear,0.2761260569095611,neutral,0.1135928183794021
When you know you're right and nobody listens to your arguments. You feel pushed around and nobody listens to you.,Anger,anger,Facing Self-Opinioned People,anger,True,anger,0.3126514554023742,neutral,0.2953836023807525,disgust,0.1780790984630584
"In debates and discussions when you hear arguments that have already been refuted during the meeting (like irrelevant prejudice). In other words, stubborn arguing. Especially the stupidity and the fear of confessing to such mistakes, in spite of all counterevidence, still go on with more and more words.",Anger,anger,Facing Self-Opinioned People,neutral,False,neutral,0.4901203513145447,sadness,0.2535776793956756,anger,0.0880744010210037
Discussions with a gang of buddies. Everybody's against what you have said. You think they are completely wrong. And they say the most ridiculous things. And they get mad and start yelling. And when they won't listen or understand. And all they do is yell.,Anger,anger,Facing Self-Opinioned People,anger,True,anger,0.4774917066097259,sadness,0.2190688401460647,neutral,0.1676666289567947
When your classmate contradicts you when you know you're right.,Anger,anger,Facing Self-Opinioned People,anger,True,anger,0.6039173007011414,disgust,0.3059661090373993,fear,0.0360136553645134
When your classmate contradicts you and you know you're right. They are not listening to you.,Anger,anger,Facing Self-Opinioned People,disgust,False,disgust,0.4167200922966003,anger,0.4102403521537781,sadness,0.1024246215820312
"If you say 40, your classmates say 70. When they say exactly the opposite.",Anger,anger,Facing Self-Opinioned People,neutral,False,neutral,0.7591103315353394,surprise,0.0935321748256683,disgust,0.0711079761385917
"When your classmate denies the existence of a famous landmarkyou know you're right about (often things you've heard on TV). People don't believe in you but persist in saying you're wrong, though you can almost prove it. (But you are as obstinate as a mule yourself).",Anger,anger,Facing Self-Opinioned People,anger,True,anger,0.4610856473445892,neutral,0.3177634477615356,disgust,0.1141954883933067
"If you mention an important historical event that you know is true, but still nobody believes you. Then you get mad. It is the people who don't believe you that make you angry.",Anger,anger,Facing Self-Opinioned People,anger,True,anger,0.6037943363189697,neutral,0.1985888481140136,disgust,0.0909251570701599
When your older brother has taken money from Mom's purse and you are blamed because you're the youngest one. They accuse you though you didn't take it.,Anger,anger,"Blaming, Slandering, and Tattling",anger,True,anger,0.6290680766105652,disgust,0.142015129327774,neutral,0.1319256722927093
If your mother blames you for breaking a vase that you have not done.,Anger,anger,"Blaming, Slandering, and Tattling",anger,True,anger,0.355638325214386,disgust,0.3067552745342254,fear,0.1572572290897369
"When your mom has lost some money, she always puts the blame on you and thinks you took it. She always thinks you are the one to blame.",Anger,anger,"Blaming, Slandering, and Tattling",anger,True,anger,0.3721584677696228,neutral,0.3024702668190002,fear,0.1345568150281906
"When you're tired and have slept too little, and everybody just keeps nagging at you at home, you get put out and would rather have peace and quiet.",Anger,anger,"Blaming, Slandering, and Tattling",neutral,False,neutral,0.4150164723396301,anger,0.2718488872051239,disgust,0.2090523242950439
"When your parents take their bad morning mood out on you, even though it's none of your business, you think that people who are in a bad temper don't necessarily have to let it come out on other people if it isn't necessary.",Anger,anger,"Blaming, Slandering, and Tattling",disgust,False,disgust,0.3683467507362366,anger,0.3408752977848053,neutral,0.2343792915344238
"When you and your mom are quarreling about the dirty dishes in the sink, and she becomes overly fixated on the smallest details, like a misplaced spoon or a slightly greasy plate, you quickly lose your patience.",Anger,anger,"Blaming, Slandering, and Tattling",anger,True,anger,0.4870737195014953,neutral,0.1781955063343048,disgust,0.1660827100276947
