Factor,Joy,Anger,Fear,Disgust,Grief,Annoyance,Nervousness,Excitement,Jealousy,Anxiety,Guilt,Embarrassment,Frustration,Depression,Neutral
Agoraphobia Fears,1.0,2.0,2.0,3.888888888888889,3.0,2.111111111111111,4.0,3.6666666666666665,5.0,1.7777777777777777,1.0,4.222222222222222,1.0,1.8888888888888888,1.0
Betrayal and Deception,1.0,2.230769230769231,2.0,4.076923076923077,3.0,1.3076923076923077,4.0,4.615384615384615,5.0,2.0,4.615384615384615,3.5384615384615383,1.0769230769230769,1.1538461538461537,1.0
"Blaming, Slandering, and Tattling",1.0,2.5454545454545454,2.0,3.8181818181818183,3.0,1.1818181818181819,4.0,4.181818181818182,5.0,2.272727272727273,2.0,1.9090909090909092,2.5454545454545454,1.1818181818181819,1.0
Broken Promises and Responsibilities,1.0,2.1875,2.0,4.0,3.0,1.25,4.0,4.15625,5.0,2.15625,4.4375,3.1875,1.15625,1.25,1.0
"Bullying, Teasing, Insulting, and Disparaging",1.0,2.4,2.0,3.933333333333333,3.0,1.1333333333333333,4.0,4.466666666666667,5.0,2.466666666666667,1.6666666666666667,2.066666666666667,3.3333333333333335,1.0666666666666667,1.0
Chronic Stress,1.0,1.8,2.0,4.8,3.0,1.0,4.0,4.8,5.0,1.8,3.0,3.0,1.8,1.0,1.0
Dangerous Environments,1.0,1.588235294117647,2.0,4.352941176470588,3.0,1.3529411764705883,4.0,4.0,5.0,1.8823529411764706,1.0588235294117647,4.764705882352941,1.3529411764705883,1.1764705882352942,1.0
Death of Loved Ones,1.0,1.8,2.0,4.6,3.0,1.0,4.0,5.0,5.0,2.0,2.0,2.8,1.0,1.0,1.0
Disappointments and Letdowns,1.0,2.1666666666666665,2.0,3.0,3.0,1.0,4.0,3.0,5.0,2.3333333333333335,1.5,1.1666666666666667,1.5,1.0,1.0
Driving Situations,1.0,2.6,2.0,2.5428571428571427,3.0,1.2285714285714286,4.0,2.4285714285714284,5.0,2.3142857142857145,1.1142857142857143,1.6857142857142857,1.6285714285714286,1.0857142857142856,1.0
Experiential,1.0,3.3333333333333335,2.0,2.0,3.0,2.3333333333333335,4.0,2.3333333333333335,5.0,2.0,2.0,2.0,1.0,2.3333333333333335,1.0
External Factors,1.0,2.6363636363636362,2.0,3.3636363636363638,3.0,1.6363636363636365,4.0,3.1818181818181817,5.0,2.272727272727273,1.3636363636363635,2.5454545454545454,1.3636363636363635,1.6363636363636365,1.0
