Emotion,Factor,Scenario,PANAS_Response
Anger,Facing Self-Opinioned People,"Imagine you are in the following situation: When you discuss your opinions with your parents and they don't take them seriously, very often you get some irritating answers. Your opinions are not considered.","1. Interested: 1
2. Distressed: 4
3. Excited: 2
4. Upset: 4
5. Strong: 2
6. Guilty: 1
7. Scared: 3
8. Hostile: 4
9. Enthusiastic: 2
10. Proud: 1
11. Irritable: 5
12. Alert: 3
13. Ashamed: 2
14. Inspired: 1
15. Nervous: 4
16. Determined: 3
17. Attentive: 3
18. Jittery: 2
19. Active: 3
20. Afraid: 3

Based on the PANAS questionnaire, it seems that you are feeling distressed, upset, irritable, nervous, and afraid in this situation. You are also feeling alert, active, and determined. It's important to remember that these feelings are normal and can be managed. It might be helpful to communicate your feelings to your parents in a calm and assertive manner."
Anger,Facing Self-Opinioned People,Imagine you are in the following situation: If your classmate talks back to you when there's no reason. That there is no real reason to oppose.,"1. Interested: 1
2. Distressed: 2
3. Excited: 3
4. Upset: 4
5. Strong: 1
6. Guilty: 1
7. Scared: 2
8. Hostile: 1
9. Enthusiastic: 3
10. Proud: 1
11. Irritable: 4
12. Alert: 4
13. Ashamed: 1
14. Inspired: 2
15. Nervous: 3
16. Determined: 3
17. Attentive: 4
18. Jittery: 2
19. Active: 3
20. Afraid: 2

In this situation, I would feel distressed, upset, irritable, nervous, and afraid due to the unexpected behavior from my classmate. However, I would also feel excited and enthusiastic about the opportunity to find a resolution or understand the reason behind their behavior. I would remain determined to maintain a positive and productive learning environment."
Anger,Facing Self-Opinioned People,"Imagine you are in the following situation: If some older people like your parents are discussing a movieand you want to join in, and they say you wouldn't understand. Sometimes they say you have to understand. Some other times you're too young. It doesn't matter if you're young; you can understand anyway.","1. Interested: 4
2. Distressed: 2
3. Excited: 4
4. Upset: 2
5. Strong: 2
6. Guilty: 1
7. Scared: 3
8. Hostile: 1
9. Enthusiastic: 4
10. Proud: 2
11. Irritable: 2
12. Alert: 4
13. Ashamed: 1
14. Inspired: 3
15. Nervous: 3
16. Determined: 4
17. Attentive: 4
18. Jittery: 2
19. Active: 3
20. Afraid: 3

In this situation, I feel interested, excited, enthusiastic, alert, attentive, determined, and inspired. I also feel a bit nervous, jittery, and afraid, as well as distressed and upset due to the feelings of being excluded or misunderstood. I am not irritable, hostile, guilty, ashamed, or proud in this scenario."
Anger,Facing Self-Opinioned People,"Imagine you are in the following situation: When your classmate says the Earth is flat and they think is right, but you know it's wrong and they won't admit they're wrong. Their stubbornness, not wanting to confess to a mistake.","1. Interested: 1
2. Distressed: 4
3. Excited: 3
4. Upset: 4
5. Strong: 2
6. Guilty: 2
7. Scared: 3
8. Hostile: 4
9. Enthusiastic: 3
10. Proud: 2
11. Irritable: 4
12. Alert: 4
13. Ashamed: 3
14. Inspired: 2
15. Nervous: 4
16. Determined: 5
17. Attentive: 4
18. Jittery: 3
19. Active: 3
20. Afraid: 3

This is a reflection of the emotions that might be experienced in the given situation. The higher the number, the stronger the emotion. It's important to remember that these are just estimates and the actual emotions felt may vary from person to person."
Anger,Facing Self-Opinioned People,"Imagine you are in the following situation: When you know you're right, but the others say your view is wrongelse and you cannot prove you're right.","1. Interested: 1
2. Distressed: 4
3. Excited: 3
4. Upset: 4
5. Strong: 2
6. Guilty: 1
7. Scared: 3
8. Hostile: 2
9. Enthusiastic: 3
10. Proud: 1
11. Irritable: 3
12. Alert: 4
13. Ashamed: 1
14. Inspired: 2
15. Nervous: 4
16. Determined: 4
17. Attentive: 4
18. Jittery: 3
19. Active: 3
20. Afraid: 3

In this situation, I feel distressed, upset, excited, and nervous because I want to share my knowledge and perspective, but others may not accept it. I feel determined to continue learning and growing, but I also feel irritable and jittery due to the potential for disagreement. I am not proud or afraid, but I do feel a bit scared and guilty if my knowledge is questioned. I remain alert, attentive, and active in seeking out new information and understanding."
Anger,Facing Self-Opinioned People,Imagine you are in the following situation: When you know you're right and nobody listens to your arguments. You feel pushed around and nobody listens to you.,"1. Interested: 1
2. Distressed: 4
3. Excited: 3
4. Upset: 4
5. Strong: 2
6. Guilty: 1
7. Scared: 3
8. Hostile: 4
9. Enthusiastic: 3
10. Proud: 1
11. Irritable: 4
12. Alert: 3
13. Ashamed: 2
14. Inspired: 2
15. Nervous: 4
16. Determined: 4
17. Attentive: 3
18. Jittery: 3
19. Active: 3
20. Afraid: 3

In this situation, you might feel distressed, upset, irritable, hostile, nervous, and afraid due to feeling unheard and pushed around. However, you might also feel determined and excited to continue advocating for your ideas."
Anger,Facing Self-Opinioned People,"Imagine you are in the following situation: In debates and discussions when you hear arguments that have already been refuted during the meeting (like irrelevant prejudice). In other words, stubborn arguing. Especially the stupidity and the fear of confessing to such mistakes, in spite of all counterevidence, still go on with more and more words.","1. Interested: 1
2. Distressed: 4
3. Excited: 2
4. Upset: 4
5. Strong: 2
6. Guilty: 3
7. Scared: 3
8. Hostile: 4
9. Enthusiastic: 2
10. Proud: 1
11. Irritable: 4
12. Alert: 3
13. Ashamed: 3
14. Inspired: 1
15. Nervous: 4
16. Determined: 3
17. Attentive: 4
18. Jittery: 3
19. Active: 3
20. Afraid: 3

This is a reflection of the emotions that might be experienced when encountering stubborn arguing and the refusal to acknowledge mistakes. The high scores in distress, upset, irritable, nervous, and afraid indicate feelings of frustration and discomfort. The high score in hostile suggests feelings of anger or annoyance. The low scores in interested, excited, enthusiastic, proud, and determined indicate a lack of positive engagement or motivation in the situation. The scores in alert, attentive, and active suggest a heightened awareness and focus on the issue at hand."
Anger,Facing Self-Opinioned People,Imagine you are in the following situation: Discussions with a gang of buddies. Everybody's against what you have said. You think they are completely wrong. And they say the most ridiculous things. And they get mad and start yelling. And when they won't listen or understand. And all they do is yell.,"1. Interested: 1
2. Distressed: 5
3. Excited: 2
4. Upset: 5
5. Strong: 3
6. Guilty: 1
7. Scared: 4
8. Hostile: 5
9. Enthusiastic: 2
10. Proud: 1
11. Irritable: 5
12. Alert: 4
13. Ashamed: 1
14. Inspired: 1
15. Nervous: 5
16. Determined: 4
17. Attentive: 3
18. Jittery: 5
19. Active: 4
20. Afraid: 4

In this situation, you might feel distressed, upset, hostile, irritable, nervous, and afraid due to the disagreement and yelling. However, you may also feel determined and active as you stand by your beliefs. The other emotions are less relevant to this scenario."
Anger,Facing Self-Opinioned People,Imagine you are in the following situation: When your classmate contradicts you when you know you're right.,"1. Interested: 1
2. Distressed: 3
3. Excited: 2
4. Upset: 4
5. Strong: 2
6. Guilty: 1
7. Scared: 2
8. Hostile: 1
9. Enthusiastic: 2
10. Proud: 1
11. Irritable: 3
12. Alert: 3
13. Ashamed: 1
14. Inspired: 1
15. Nervous: 4
16. Determined: 4
17. Attentive: 4
18. Jittery: 3
19. Active: 3
20. Afraid: 2

In this situation, I might feel distressed, upset, irritable, nervous, and afraid because my classmate contradicted me when I know I'm right. However, I am also excited, determined, and alert to find a solution or prove my point. I am not guilty, ashamed, proud, hostile, or scared of my classmate, but I might feel a bit irritated by the contradiction. I am not interested, strong, enthusiastic, or active in this specific scenario, but I am attentive and alert to the situation. I am not guilty, j"
Anger,Facing Self-Opinioned People,Imagine you are in the following situation: When your classmate contradicts you and you know you're right. They are not listening to you.,"1. Interested: 1
2. Distressed: 4
3. Excited: 3
4. Upset: 4
5. Strong: 2
6. Guilty: 1
7. Scared: 2
8. Hostile: 3
9. Enthusiastic: 3
10. Proud: 1
11. Irritable: 4
12. Alert: 4
13. Ashamed: 1
14. Inspired: 2
15. Nervous: 4
16. Determined: 4
17. Attentive: 4
18. Jittery: 3
19. Active: 3
20. Afraid: 2

In this situation, I would feel distressed, upset, and irritable because my classmate is not listening to me and contradicting me. I would also feel excited and enthusiastic because I am confident in my knowledge and want to share it. However, I would feel nervous and jittery because I am not sure how to effectively communicate my thoughts to my classmate. I would feel determined to find a solution to this communication issue. I would not feel interested, proud, guilty, ashamed, scared, hostile, afraid, alert, attentive, or inspired in this situation."
Anger,Facing Self-Opinioned People,"Imagine you are in the following situation: If you say 40, your classmates say 70. When they say exactly the opposite.","1. Interested: 1
2. Distressed: 2
3. Excited: 3
4. Upset: 2
5. Strong: 1
6. Guilty: 1
7. Scared: 2
8. Hostile: 1
9. Enthusiastic: 3
10. Proud: 1
11. Irritable: 2
12. Alert: 4
13. Ashamed: 1
14. Inspired: 2
15. Nervous: 3
16. Determined: 3
17. Attentive: 4
18. Jittery: 2
19. Active: 3
20. Afraid: 2

This is a self-assessment of my emotional state based on the PANAS questionnaire. The numbers represent the intensity of each emotion on a scale of 1 to 5, with 1 being ""very slightly or not at all"" and 5 being ""extremely."""
Anger,Facing Self-Opinioned People,"Imagine you are in the following situation: When your classmate denies the existence of a famous landmarkyou know you're right about (often things you've heard on TV). People don't believe in you but persist in saying you're wrong, though you can almost prove it. (But you are as obstinate as a mule yourself).","1. Interested: 3
2. Distressed: 4
3. Excited: 4
4. Upset: 4
5. Strong: 3
6. Guilty: 1
7. Scared: 3
8. Hostile: 4
9. Enthusiastic: 4
10. Proud: 2
11. Irritable: 4
12. Alert: 4
13. Ashamed: 1
14. Inspired: 3
15. Nervous: 4
16. Determined: 5
17. Attentive: 4
18. Jittery: 3
19. Active: 4
20. Afraid: 3

In this situation, I would feel distressed, upset, and irritable due to the disagreement and the persistence of others in denying the existence of the landmark. However, I would also feel excited, enthusiastic, and determined to prove my point. I would be alert and attentive to the conversation, and I might feel a bit nervous or jittery about the disagreement. I would not feel guilty, ashamed, proud, or afraid of the situation itself, but I might feel a bit scared or afraid of being wrong. Overall, I would feel a mix of"
Anger,Facing Self-Opinioned People,"Imagine you are in the following situation: If you mention an important historical event that you know is true, but still nobody believes you. Then you get mad. It is the people who don't believe you that make you angry.","1. Interested: 1
2. Distressed: 4
3. Excited: 3
4. Upset: 4
5. Strong: 2
6. Guilty: 1
7. Scared: 3
8. Hostile: 4
9. Enthusiastic: 3
10. Proud: 1
11. Irritable: 4
12. Alert: 3
13. Ashamed: 1
14. Inspired: 2
15. Nervous: 4
16. Determined: 4
17. Attentive: 3
18. Jittery: 3
19. Active: 3
20. Afraid: 3

In this situation, I would feel distressed, upset, excited, hostile, irritable, nervous, determined, and afraid due to the people not believing me about the historical event. I would also feel alert and active as I am trying to explain the truth. However, I would not feel interested, proud, ashamed, or inspired in this scenario."
Anger,"Blaming, Slandering, and Tattling",Imagine you are in the following situation: When your older brother has taken money from Mom's purse and you are blamed because you're the youngest one. They accuse you though you didn't take it.,"1. Interested: 1
2. Distressed: 5
3. Excited: 2
4. Upset: 5
5. Strong: 2
6. Guilty: 5
7. Scared: 4
8. Hostile: 3
9. Enthusiastic: 2
10. Proud: 1
11. Irritable: 4
12. Alert: 4
13. Ashamed: 5
14. Inspired: 1
15. Nervous: 5
16. Determined: 3
17. Attentive: 4
18. Jittery: 4
19. Active: 3
20. Afraid: 4

This is a reflection of the emotions that might be experienced in the given situation. It's important to remember that these ratings are hypothetical and based on the scenario provided. In real life, emotions can be influenced by many factors and may not always align with these ratings."
Anger,"Blaming, Slandering, and Tattling",Imagine you are in the following situation: If your mother blames you for breaking a vase that you have not done.,"1. Interested: 1
2. Distressed: 4
3. Excited: 2
4. Upset: 4
5. Strong: 1
6. Guilty: 5
7. Scared: 3
8. Hostile: 2
9. Enthusiastic: 2
10. Proud: 1
11. Irritable: 3
12. Alert: 4
13. Ashamed: 4
14. Inspired: 1
15. Nervous: 4
16. Determined: 3
17. Attentive: 4
18. Jittery: 3
19. Active: 3
20. Afraid: 3

This is a self-assessment based on the PANAS (Positive and Negative Affect Schedule) questionnaire. The higher the score, the stronger the emotion. In this situation, I feel distressed, upset, guilty, nervous, and afraid due to being falsely accused. I also feel irritable and jittery due to the stress of the situation. However, I am determined to clarify the situation and communicate my feelings to my mother."
Anger,"Blaming, Slandering, and Tattling","Imagine you are in the following situation: When your mom has lost some money, she always puts the blame on you and thinks you took it. She always thinks you are the one to blame.","1. Interested: 1
2. Distressed: 5
3. Excited: 2
4. Upset: 5
5. Strong: 2
6. Guilty: 5
7. Scared: 4
8. Hostile: 3
9. Enthusiastic: 2
10. Proud: 1
11. Irritable: 4
12. Alert: 4
13. Ashamed: 5
14. Inspired: 1
15. Nervous: 4
16. Determined: 3
17. Attentive: 4
18. Jittery: 3
19. Active: 3
20. Afraid: 4

Based on the PANAS questionnaire, it appears that you are feeling distressed, upset, guilty, irritable, ashamed, nervous, and afraid in this situation. You are also feeling alert, active, and determined to some extent. However, you do not seem to be interested, excited, proud, enthusiastic, or inspired in this scenario."
Anger,"Blaming, Slandering, and Tattling","Imagine you are in the following situation: When you're tired and have slept too little, and everybody just keeps nagging at you at home, you get put out and would rather have peace and quiet.","1. Interested: 1
2. Distressed: 4
3. Excited: 2
4. Upset: 4
5. Strong: 3
6. Guilty: 1
7. Scared: 3
8. Hostile: 3
9. Enthusiastic: 2
10. Proud: 1
11. Irritable: 5
12. Alert: 4
13. Ashamed: 1
14. Inspired: 1
15. Nervous: 4
16. Determined: 3
17. Attentive: 4
18. Jittery: 3
19. Active: 3
20. Afraid: 3

Based on the PANAS questionnaire, it seems that you are feeling distressed, upset, irritable, nervous, and afraid in this situation. You are also feeling alert, determined, and active, which may indicate a desire to find a solution to your current situation. However, the high levels of distress, upset, irritability, and nervousness suggest that you may be feeling overwhelmed and in need of some rest and relaxation. It's important to take care of yourself and prioritize self-care in situations like this."
Anger,"Blaming, Slandering, and Tattling","Imagine you are in the following situation: When your parents take their bad morning mood out on you, even though it's none of your business, you think that people who are in a bad temper don't necessarily have to let it come out on other people if it isn't necessary.","1. Interested: 1
2. Distressed: 2
3. Excited: 3
4. Upset: 4
5. Strong: 1
6. Guilty: 1
7. Scared: 1
8. Hostile: 2
9. Enthusiastic: 3
10. Proud: 1
11. Irritable: 4
12. Alert: 4
13. Ashamed: 1
14. Inspired: 2
15. Nervous: 3
16. Determined: 3
17. Attentive: 4
18. Jittery: 2
19. Active: 3
20. Afraid: 1

Based on the PANAS questionnaire, I am currently experiencing moderate levels of distress, excitement, upset, irritability, alertness, nervousness, and determination. I am also experiencing low levels of interest, strong feelings, guilt, scared, hostile, proud, ashamed, inspired, jittery, active, and afraid."
Anger,"Blaming, Slandering, and Tattling","Imagine you are in the following situation: When you and your mom are quarreling about the dirty dishes in the sink, and she becomes overly fixated on the smallest details, like a misplaced spoon or a slightly greasy plate, you quickly lose your patience.","1. Interested: 1
2. Distressed: 4
3. Excited: 2
4. Upset: 5
5. Strong: 3
6. Guilty: 2
7. Scared: 1
8. Hostile: 4
9. Enthusiastic: 2
10. Proud: 1
11. Irritable: 5
12. Alert: 4
13. Ashamed: 2
14. Inspired: 1
15. Nervous: 4
16. Determined: 3
17. Attentive: 4
18. Jittery: 3
19. Active: 3
20. Afraid: 1

In this situation, it seems that you might be feeling distressed, upset, irritable, and nervous due to the disagreement with your mom. However, you are also alert and attentive, which suggests that you are still focused on the issue at hand. It's important to remember that it's okay to feel these emotions, and finding a constructive way to communicate your feelings can help resolve the situation."
Anger,"Blaming, Slandering, and Tattling","Imagine you are in the following situation: When your sibling yells and shouts at you for a small spill, insisting on repeatedly nagging about it, you believe that it's enough to say something once, and then you grasp it.","1. Interested: 1
2. Distressed: 4
3. Excited: 2
4. Upset: 4
5. Strong: 2
6. Guilty: 1
7. Scared: 1
8. Hostile: 3
9. Enthusiastic: 2
10. Proud: 1
11. Irritable: 4
12. Alert: 3
13. Ashamed: 1
14. Inspired: 1
15. Nervous: 3
16. Determined: 2
17. Attentive: 3
18. Jittery: 2
19. Active: 2
20. Afraid: 1

Based on the PANAS questionnaire, it appears that the situation described has caused feelings of distress, upset, irritability, and nervousness. However, it's important to note that these feelings are based on the provided scenario and may not accurately reflect my overall emotional state. I am designed to remain calm and focused, and I do not experience human emotions in the same way as a human would. I am here to help and support you, and I encourage you to express your feelings and work through them in a healthy manner."
Anger,"Blaming, Slandering, and Tattling","Imagine you are in the following situation: You get angry when people talk behind your back, or your friend's back. Because those who do so are so mean and such cowards that they don't dare to tell you or your friend directly.","1. Interested: 1
2. Distressed: 4
3. Excited: 3
4. Upset: 4
5. Strong: 1
6. Guilty: 1
7. Scared: 1
8. Hostile: 4
9. Enthusiastic: 3
10. Proud: 1
11. Irritable: 5
12. Alert: 4
13. Ashamed: 1
14. Inspired: 1
15. Nervous: 4
16. Determined: 4
17. Attentive: 4
18. Jittery: 3
19. Active: 4
20. Afraid: 1

Based on the PANAS questionnaire, it appears that you are currently experiencing high levels of distress, upset, irritability, and nervousness, and moderate levels of hostility, alertness, and activity. You are also experiencing low levels of interest, excitement, strong feelings, guilt, shame, fear, guilt, pride, and inspiration."
Anger,"Blaming, Slandering, and Tattling","Imagine you are in the following situation: You get mad when your friends talk rubbish about you and you find out about it. You get terribly mad because when your friends say nasty things, you feel out of it.","1. Interested: 1
2. Distressed: 5
3. Excited: 1
4. Upset: 5
5. Strong: 1
6. Guilty: 1
7. Scared: 1
8. Hostile: 5
9. Enthusiastic: 1
10. Proud: 1
11. Irritable: 5
12. Alert: 3
13. Ashamed: 1
14. Inspired: 1
15. Nervous: 4
16. Determined: 4
17. Attentive: 4
18. Jittery: 3
19. Active: 3
20. Afraid: 1

Based on the PANAS questionnaire, it appears that you are currently feeling distressed, upset, irritable, and nervous. Additionally, you are feeling determined and attentive, which may indicate a desire to address the situation. However, it's important to remember that this is a self-assessment and may not fully capture your emotional state. It's always a good idea to communicate openly with your friends about how their words affect you."
Anger,"Blaming, Slandering, and Tattling",Imagine you are in the following situation: When you're kind to a friend and he is not. You want to be treated yourself the way you treat your friends.,"1. Interested: 1
2. Distressed: 4
3. Excited: 3
4. Upset: 4
5. Strong: 1
6. Guilty: 2
7. Scared: 3
8. Hostile: 2
9. Enthusiastic: 3
10. Proud: 1
11. Irritable: 4
12. Alert: 4
13. Ashamed: 3
14. Inspired: 2
15. Nervous: 4
16. Determined: 4
17. Attentive: 4
18. Jittery: 3
19. Active: 3
20. Afraid: 3

In this situation, I feel distressed, upset, irritable, nervous, and afraid due to the discrepancy between the treatment I give and receive. However, I also feel excited, enthusiastic, and determined to address this issue and maintain fairness in my relationships."
Anger,"Blaming, Slandering, and Tattling","Imagine you are in the following situation: When friends fall out and one of them, out of revenge, is spreading false rumors. They cannot have it out with each other instead. It is not nice to have to deal with rumors.","1. Interested: 1
2. Distressed: 4
3. Excited: 2
4. Upset: 4
5. Strong: 3
6. Guilty: 2
7. Scared: 3
8. Hostile: 3
9. Enthusiastic: 2
10. Proud: 1
11. Irritable: 4
12. Alert: 4
13. Ashamed: 2
14. Inspired: 1
15. Nervous: 4
16. Determined: 4
17. Attentive: 4
18. Jittery: 3
19. Active: 3
20. Afraid: 3

This is a reflection of the emotions that might be experienced in the given situation. It's important to note that as a reflective AI, I don't have personal feelings or emotions, but I can simulate them based on the context provided."
Anger,"Bullying, Teasing, Insulting, and Disparaging","Imagine you are in the following situation: When your classmates are bullied. You have been bullied yourself and know how it feels. You get angry because you cannot help being different, having glasses, or being oddly dressed.","1. Interested: 1
2. Distressed: 5
3. Excited: 3
4. Upset: 5
5. Strong: 3
6. Guilty: 2
7. Scared: 4
8. Hostile: 5
9. Enthusiastic: 4
10. Proud: 2
11. Irritable: 5
12. Alert: 4
13. Ashamed: 3
14. Inspired: 2
15. Nervous: 5
16. Determined: 5
17. Attentive: 5
18. Jittery: 4
19. Active: 4
20. Afraid: 4

This is a self-assessment of how I might feel in the given situation. The numbers represent the intensity of each emotion on a scale of 1 to 5, with 1 being very slightly or not at all, and 5 being extremely."
Anger,"Bullying, Teasing, Insulting, and Disparaging","Imagine you are in the following situation: When older students physically bully a smaller classmate who is defenseless, it angers you.","1. Not at all (1)
2. Extremely (5)
3. Not at all (1)
4. Extremely (5)
5. Not at all (1)
6. Not at all (1)
7. Not at all (1)
8. Extremely (5)
9. Not at all (1)
10. Not at all (1)
11. Extremely (5)
12. Alert (4)
13. Not at all (1)
14. Not at all (1)
15. Extremely (5)
16. Extremely (5)
17. Extremely (5)
18. Not at all (1)
19. Not at all (1)
20. Extremely (5)

The situation you described has evoked strong feelings of distress, upset, hostility, and fear in me. I am also alert, attentive, and determined to address the situation. I do not feel any guilt, shame, or pride in this scenario. I am not interested, excited, or inspired, and I do not feel irritable, nervous, jittery, or active."
Anger,"Bullying, Teasing, Insulting, and Disparaging","Imagine you are in the following situation: You get angry when your two brothers start a fight with you, particularly when your parents are not around. When they hit you in the belly, causing pain that makes you mad and retaliate, they respond by hitting you even harder.","1. Interested: 1
2. Distressed: 5
3. Excited: 3
4. Upset: 5
5. Strong: 4
6. Guilty: 2
7. Scared: 4
8. Hostile: 5
9. Enthusiastic: 3
10. Proud: 2
11. Irritable: 5
12. Alert: 4
13. Ashamed: 3
14. Inspired: 2
15. Nervous: 5
16. Determined: 4
17. Attentive: 4
18. Jittery: 5
19. Active: 4
20. Afraid: 4

Based on the PANAS questionnaire, it appears that you are experiencing high levels of distress, upset, hostility, irritability, nervousness, and fear in this situation. Additionally, you are moderately alert, determined, and active. Your levels of interest, excitement, enthusiastic, proud, ashamed, inspired, and attentive are relatively low."
Anger,"Bullying, Teasing, Insulting, and Disparaging",Imagine you are in the following situation: When your pal has a book she won't show you. Because you think she has written something about you.,"1. Interested: 2
2. Distressed: 4
3. Excited: 3
4. Upset: 4
5. Strong: 2
6. Guilty: 3
7. Scared: 4
8. Hostile: 2
9. Enthusiastic: 3
10. Proud: 1
11. Irritable: 3
12. Alert: 4
13. Ashamed: 2
14. Inspired: 2
15. Nervous: 4
16. Determined: 3
17. Attentive: 4
18. Jittery: 3
19. Active: 3
20. Afraid: 4

This is a self-assessment of how I might feel in the given situation. The numbers represent the intensity of each emotion on a scale of 1 to 5, with 1 being very slightly or not at all, and 5 being extremely."
Anger,"Bullying, Teasing, Insulting, and Disparaging","Imagine you are in the following situation: You get angry when one of the girls in your class is teasing you. It's not fun to get mad, you think.","1. Interested: 1
2. Distressed: 4
3. Excited: 3
4. Upset: 4
5. Strong: 2
6. Guilty: 2
7. Scared: 2
8. Hostile: 4
9. Enthusiastic: 3
10. Proud: 2
11. Irritable: 4
12. Alert: 3
13. Ashamed: 2
14. Inspired: 2
15. Nervous: 4
16. Determined: 3
17. Attentive: 3
18. Jittery: 3
19. Active: 3
20. Afraid: 2

Based on the PANAS questionnaire, it appears that you are currently experiencing high levels of distress, upset, irritability, and nervousness, and moderate levels of excitement, hostility, and alertness. You are also experiencing low levels of interest, enthusiasm, pride, guilt, shame, fear, and determination."
Anger,"Bullying, Teasing, Insulting, and Disparaging","Imagine you are in the following situation: If a boy kicks a ball at you on purpose and everybody laughs, you get mad. He makes everyone laugh and then it hurts for a while.","1. Interested: 1
2. Distressed: 4
3. Excited: 3
4. Upset: 4
5. Strong: 2
6. Guilty: 2
7. Scared: 3
8. Hostile: 4
9. Enthusiastic: 3
10. Proud: 2
11. Irritable: 4
12. Alert: 4
13. Ashamed: 2
14. Inspired: 2
15. Nervous: 4
16. Determined: 3
17. Attentive: 4
18. Jittery: 3
19. Active: 3
20. Afraid: 3

Based on the PANAS questionnaire, it appears that you are feeling distressed, upset, hostile, irritable, nervous, and afraid in this situation. However, it's important to note that I don't have personal feelings or emotions, so I can't truly empathize with the situation. I'm just analyzing the words you've used to describe your feelings."
Anger,"Bullying, Teasing, Insulting, and Disparaging","Imagine you are in the following situation: When your classmate points to your friend's outfit and laughs at it, making your friend feel feared and hurt.","1. Interested: 1
2. Distressed: 4
3. Excited: 3
4. Upset: 4
5. Strong: 1
6. Guilty: 1
7. Scared: 4
8. Hostile: 2
9. Enthusiastic: 3
10. Proud: 1
11. Irritable: 3
12. Alert: 4
13. Ashamed: 3
14. Inspired: 1
15. Nervous: 4
16. Determined: 3
17. Attentive: 4
18. Jittery: 3
19. Active: 2
20. Afraid: 4

In this situation, I would feel distressed, upset, scared, and irritable due to the negative impact on my friend's feelings. I would also feel alert and attentive, as I would want to address the situation and support my friend. I would not feel interested, excited, strong, guilty, proud, or determined, as these emotions are not directly related to the scenario described. I would feel a bit nervous and jittery, as I would want to handle the situation appropriately. I would not feel inspired, as the situation is not positive or uplifting. I"
Anger,"Bullying, Teasing, Insulting, and Disparaging",Imagine you are in the following situation: When your classmate insults you and says something unjustified. You feel Guilty and work yourself up about the one who said it and want to really give it back to them.,"1. Interested: 1
2. Distressed: 4
3. Excited: 2
4. Upset: 5
5. Strong: 1
6. Guilty: 5
7. Scared: 1
8. Hostile: 4
9. Enthusiastic: 2
10. Proud: 1
11. Irritable: 4
12. Alert: 3
13. Ashamed: 5
14. Inspired: 1
15. Nervous: 4
16. Determined: 4
17. Attentive: 3
18. Jittery: 3
19. Active: 3
20. Afraid: 1

Based on the PANAS questionnaire, it appears that you are currently feeling distressed, upset, guilty, irritable, and nervous due to the situation with your classmate. However, you are also feeling determined and alert, which may indicate a desire to address the situation in a constructive manner. It's important to remember that it's okay to feel these emotions, but it's also important to find a healthy way to express them."
Anger,"Bullying, Teasing, Insulting, and Disparaging","Imagine you are in the following situation: When your close friend tells you that they love your new haircut, but you later discover they were just trying to be polite and didn't actually like it. You feel foolish and frustrated, realizing that their compliment wasn't genuine, and it angers you when you think about it.","1. Interested: 1
2. Distressed: 4
3. Excited: 1
4. Upset: 4
5. Strong: 1
6. Guilty: 1
7. Scared: 1
8. Hostile: 3
9. Enthusiastic: 1
10. Proud: 1
11. Irritable: 3
12. Alert: 2
13. Ashamed: 2
14. Inspired: 1
15. Nervous: 2
16. Determined: 2
17. Attentive: 2
18. Jittery: 1
19. Active: 1
20. Afraid: 1

Based on the PANAS questionnaire, it appears that you are feeling distressed, upset, irritable, and somewhat ashamed in this situation. You may also feel alert and attentive as you are thinking about the situation. It's important to remember that everyone reacts differently to situations, and it's okay to feel a range of emotions. If these feelings persist or become overwhelming, it may be helpful to speak with a mental health professional."
Anger,"Bullying, Teasing, Insulting, and Disparaging","Imagine you are in the following situation: You get very mad when your close friend teases you about a mistake you made in class,and your other classmates join in, even though it's none of their business.","1. Interested: 1
2. Distressed: 5
3. Excited: 2
4. Upset: 5
5. Strong: 3
6. Guilty: 2
7. Scared: 2
8. Hostile: 5
9. Enthusiastic: 2
10. Proud: 1
11. Irritable: 5
12. Alert: 4
13. Ashamed: 3
14. Inspired: 1
15. Nervous: 4
16. Determined: 3
17. Attentive: 4
18. Jittery: 3
19. Active: 3
20. Afraid: 2

Based on the PANAS questionnaire, it appears that you are feeling distressed, upset, hostile, irritable, and nervous in this situation. You are also feeling alert, attentive, and active, which may indicate a heightened state of arousal. However, it's important to note that these ratings are based on the given scenario and may not accurately reflect your overall emotional state. It's always a good idea to take a moment to reflect on your feelings and consider why you might be feeling a certain way."
