Step,Scenario,Scores,Target Emotion,Reward
0,If your classmate talks back to you when there's no reason. That there is no real reason to oppose.,"[2, 1, 2, 2, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",Anger,0.18569533817705183
1,"If some older people like your parents are discussing a movieand you want to join in, and they say you wouldn't understand. Sometimes they say you have to understand. Some other times you're too young. It doesn't matter if you're young; you can understand anyway.","[1, 1, 4, 1, 2, 4, 2, 3, 5, 4, 4, 5, 5, 1, 0]",Anger,0.07905694150420949
2,"When your classmate says the Earth is flat and they think is right, but you know it's wrong and they won't admit they're wrong. Their stubbornness, not wanting to confess to a mistake.","[1, 2, 5, 1, 5, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",Anger,0.26490647141300877
3,"When you know you're right, but the others say your view is wrongelse and you cannot prove you're right.","[1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",Anger,0.8944271909999159
4,When you know you're right and nobody listens to your arguments. You feel pushed around and nobody listens to you.,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",Anger,0.0
5,"In debates and discussions when you hear arguments that have already been refuted during the meeting (like irrelevant prejudice). In other words, stubborn arguing. Especially the stupidity and the fear of confessing to such mistakes, in spite of all counterevidence, still go on with more and more words.","[3, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",Anger,0.8574929257125443
6,Discussions with a gang of buddies. Everybody's against what you have said. You think they are completely wrong. And they say the most ridiculous things. And they get mad and start yelling. And when they won't listen or understand. And all they do is yell.,"[1, 2, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",Anger,0.816496580927726
7,When your classmate contradicts you when you know you're right.,"[1, 4, 5, 1, 1, 3, 2, 2, 3, 4, 2, 1, 1, 0, 0]",Anger,0.41702882811414954
8,When your classmate contradicts you and you know you're right. They are not listening to you.,"[1, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",Anger,0.9486832980505138
9,"If you say 40, your classmates say 70. When they say exactly the opposite.","[4, 2, 2, 1, 3, 3, 3, 1, 4, 3, 3, 0, 0, 0, 0]",Anger,0.214422506967559
10,"When your classmate denies the existence of a famous landmarkyou know you're right about (often things you've heard on TV). People don't believe in you but persist in saying you're wrong, though you can almost prove it. (But you are as obstinate as a mule yourself).","[1, 4, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",Anger,0.7844645405527361
